Feature,Gain,Cover,Frequency
tfidf_text_want,0.002922043855156468,0.009153648284213622,0.009427121102248005
tfidf_text_got,0.002723921584396644,0.008066380080497931,0.010493537516529454
tfidf_text_new,0.002684375374636128,0.00757206929119737,0.006867721707972529
tfidf_text_u,0.002619026572095731,0.008856134755430171,0.008275391374824042
tfidf_text_last,0.002547284351840316,0.007647776514536809,0.006398498485688691
tfidf_text_number,0.002470214248898252,0.007486559783519537,0.00767819818282643
tfidf_text_fly,0.002411128525935395,0.004812857469330078,0.006739751738258755
tfidf_text_home,0.002381617522581519,0.006885518177460489,0.008360704687966557
tfidf_text_change,0.0022580976470334695,0.00569182811010407,0.007422258243398883
tfidf_text_check,0.0019356450382624528,0.0063729179511381314,0.006867721707972529
tfidf_text_work,0.0018708954175738095,0.006322846492203771,0.006142558546261144
tfidf_text_w,0.0018342118733073115,0.006552206236233616,0.0048628588491234056
tfidf_text_us,0.0017762257227208272,0.008145847131081851,0.008147421405110267
tfidf_text_yes,0.0016528281948352682,0.007391020805692469,0.006953035021115045
tfidf_text_ticket,0.0016420682419699085,0.008401471317493322,0.007848824809111463
tfidf_text_aa,0.0015904897259175783,0.006294446796975005,0.006910378364543787
tfidf_text_like,0.0015851949466273109,0.007251685397706309,0.007720854839397688
tfidf_text_way,0.0015789650742185557,0.005818190424891925,0.005076142131979695
tfidf_text_united,0.0015712435772969671,0.007031792545169114,0.005971931919976112
tfidf_text_see,0.0014207825181693434,0.005579846559217464,0.005289425414835985
tfidf_text_another,0.001400991460663461,0.006054981690984115,0.005460052041121017
tfidf_text_make,0.001395604946569427,0.006951098495356821,0.005929275263404855
tfidf_text_weather,0.0012184125316599848,0.00548841895909217,0.00499082881883718
tfidf_text_amp,0.0011329418451946915,0.0061444630333549076,0.005374738727978501
tfidf_text_next,0.0011227985079446969,0.0053809639875616305,0.005289425414835985
tfidf_text_back,9.032676792419839e-4,0.00399920911429226,0.004948172162265922
tfidf_text_flighted,7.73160798562144e-4,0.003051661897929188,0.003967069061126989
tfidf_text_ua,7.715586564407e-4,0.0034127387361008754,0.0034978458388431515
tfidf_text_take,7.484610469893139e-4,0.004483886050114186,0.00435097897026831
tfidf_text_first,7.047191114528906e-4,0.003232929245626859,0.0037964424348419573
tfidf_text_go,5.843652281312251e-4,0.002907323995483218,0.0034125325257006356
tfidf_text_trip,5.810055447156663e-4,0.0036143752012762543,0.0031992492428443457
tfidf_text_two,4.4956254246806605e-4,0.002139915786944799,0.0026873693639892504
tfidf_text_airport,1.5812005911983607e-4,0.0010661311100649167,9.811031011389328e-4
